[2025-08-18 22:02:23,881] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 22:02:24,034] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 22:02:24,165] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 22:02:24,169] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 22:02:24,169] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 22:02:24,174] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 22:02:24,175] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 22:03:07,037] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 22:03:07,041] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 22:03:07,043] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 22:03:07,046] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 22:03:07,047] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 22:04:06,725] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 22:04:06,732] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 22:04:06,876] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 22:04:07,013] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 22:04:07,146] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:39:07,942] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 20:39:07,945] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:39:39,479] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:39:39,876] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 20:39:40,394] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:39:40,395] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 20:39:40,396] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:39:40,637] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:39:40,648] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:39:40,649] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 20:40:07,899] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 20:40:07,902] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:40:07,904] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:40:07,905] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 20:40:07,906] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:41:07,590] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 20:41:07,596] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:41:08,048] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
