[2025-08-08 10:31:22,183] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:31:22,211] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:31:22,213] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:31:22,214] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:31:22,216] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:31:22,236] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:35:27,325] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:35:27,336] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:35:27,338] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:35:27,340] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:35:27,342] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:35:27,370] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:35:27,372] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:35:27,373] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:35:27,375] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:35:27,396] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:35:45,199] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:35:45,215] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:35:45,230] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:35:45,233] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:35:45,247] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:35:45,249] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:35:45,260] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:35:45,262] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:35:45,274] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:35:45,275] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:49:30,213] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:49:30,217] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:49:30,244] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:49:30,257] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:49:30,259] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:49:30,276] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:49:30,278] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:49:30,297] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:49:30,300] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:49:30,302] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:53:42,543] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:53:42,557] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:53:42,559] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:53:42,573] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:53:42,580] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:53:43,120] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:53:43,130] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:53:43,133] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:53:43,150] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:53:43,152] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 12:55:58,302] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 12:55:58,307] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 12:55:58,309] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 12:55:58,311] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 12:55:58,351] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 12:55:58,910] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 12:55:58,927] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 12:55:58,932] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 12:55:58,950] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 12:55:58,952] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 12:57:23,104] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 12:57:23,110] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 12:57:23,112] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 12:57:23,139] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 12:57:23,149] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 12:57:23,686] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 12:57:23,729] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 12:57:23,732] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 12:57:23,734] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 12:57:23,737] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 12:59:22,658] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 12:59:22,669] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 12:59:22,682] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 12:59:22,685] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 12:59:22,714] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 12:59:23,246] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 12:59:23,256] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 12:59:23,269] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 12:59:23,280] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 12:59:23,282] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 12:59:29,840] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 12:59:29,856] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 12:59:29,867] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 12:59:29,869] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 12:59:29,887] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 12:59:30,402] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 12:59:30,427] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 12:59:30,430] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 12:59:30,433] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 12:59:30,490] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 13:15:36,273] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 13:15:36,292] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 13:15:36,297] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 13:15:36,314] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 13:15:36,316] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 13:15:36,333] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 13:15:36,341] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 13:15:36,344] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 13:15:36,358] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 13:15:36,365] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 13:22:29,411] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 13:22:29,426] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 13:22:29,428] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 13:22:29,451] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 13:22:29,453] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 13:22:29,457] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 13:22:29,482] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 13:22:29,494] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 13:22:29,496] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 13:22:29,498] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 13:23:32,232] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 13:23:32,241] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 13:23:32,262] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 13:23:32,265] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 13:23:32,282] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 13:23:32,292] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 13:23:32,294] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 13:23:32,296] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 13:23:32,319] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 13:23:32,321] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-18 15:24:03,657] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:24:03,660] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:24:03,941] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:24:03,966] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:24:03,968] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:24:04,003] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:24:04,245] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:24:04,254] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:24:04,278] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:24:04,312] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
